mass, lattice_parameter, alpha0, alpha1, beta1, alpha2, beta2
50, 2.00, 8.35164562, -0.17394766, -0.23182075, -0.03094248, -1.72414583
50, 2.20, 7.91719543, -0.20324613,  0.31931972, -0.00878858, -1.56925982 
50, 2.40, 8.80672418, -1.10601376, -1.04304708,  0.02542815,  0.01039863
50, 2.60, 9.64186327, -1.1102341,  -0.53225676, -0.36929203,  0.22409115
50, 2.80, 8.79790774, -0.58744308,  0.09382633, -0.13343885, -0.95800774
50, 3.00, 8.09745668, -0.19808194, -0.08787685, -0.18948856, -1.53345844
50, 3.20, 8.91356853, -0.70615432,  0.80555621,  0.05966733, -0.65220329
60, 2.00, 7.58589934, -0.91567677,  0.43742495, -0.12970026, -0.01354135
60, 2.20, 7.364782,   -0.75354502, -0.84238263, -0.6677389,   0.07242566
60, 2.40, 8.30494518, -0.16749445, -0.10199489,  0.00090116, -1.74122106
60, 2.60, 8.46855212, -0.55821182,  0.76656254,  0.08242843, -0.83633041
60, 2.80, 8.62239151, -0.5581345,  -0.90168802,  0.11831623, -0.87499314
60, 3.00, 7.97942061, -0.47916317,  0.45678476,  0.03363289, -0.87204351
60, 3.20, 9.48938966, -0.65558682, -0.70596836,  0.05317215, -0.89583495
70, 2.00, 9.85901137, -0.97890068, -0.8129286,  -0.03190742, -0.49098786 
70, 2.20, 9.44782938, -0.89853185, -0.41856929, -1.12919787,  0.01224936
70, 2.40, 9.90717727, -0.83764868,  0.05751456, -0.27193473, -0.66534244
70, 2.60, 9.1614381,  -0.44957127, -0.09481106,  0.10700031, -1.22714105
70, 2.80, 9.70073852, -0.63415288, -1.18630065, -0.94577746, -0.48205079
70, 3.00, 8.10650562, -0.48414645,  0.6856172,  -0.683219,    0.28751971
70, 3.20, 8.49315686, -0.86638998, -0.53681853,  0.07864066, -0.22615817
80, 2.00, 9.57205784, -1.14602977, -0.39676214, -0.20158288,  0.00431052
80, 2.20, 9.28795706, -0.55922290, -0.29616548, -0.00316126, -1.20346086
80, 2.40, 9.2553593,  -0.47919978, -1.00213206, -0.42174459, -1.14485445
80, 2.60, 7.78233685, -0.53169185,  0.68733555, -1.75433413,  0.19208022 
80, 2.80, 9.3489806,  -0.75393131,  0.39104219,  0.05487741, -0.66463854
80, 3.00, 9.98603033, -0.69851549,  0.63325581, -0.39383897, -0.68793366
80, 3.20, 8.35476554, -0.92077806,  0.23595281, -0.04454291, -0.07955056
90, 2.00, 8.5358254,  -0.65997309,  0.46211943, -0.0200795,  -0.81058226
90, 2.20, 8.67847308, -0.29470478, -0.24553318, -0.48072148, -1.33975957
90, 2.40, 9.34354761, -0.73967347,  0.4320182,  -0.36290033, -0.67460567
90, 2.60, 8.64617477, -0.83310586, -0.93041306,  0.0765809,  -0.33160982
90, 2.80, 9.05619115, -1.11961078,  0.43708714,  0.58003198,  0.63003845
90, 3.00, 8.44306899, -0.88513634, -0.94844724, -0.66276561,  0.15148747
90, 3.20, 9.16108537, -0.71098397,  0.74243822, -0.43616109, -0.64355407
100, 2.00, 8.28954589, -0.61713029,  0.37483494, -0.21517351, -0.73096967
100, 2.20, 9.25436723, -0.77774948,  0.04803867, -0.33121821, -0.59392814
100, 2.40, 8.14101826, -0.82224383, -0.85095775, -0.3477574,  -0.21670438
100, 2.60, 9.04706622, -0.56134041,  0.07965971, -1.21639055, -0.32548119 
100, 2.80, 8.79175599, -0.31742349,  0.79982217, -0.043209,   -1.32624964
100, 3.00, 8.9200616,  -0.20359913, -0.31583083,  0.06394364, -1.65905598
100, 3.20, 8.96076985, -0.69058589, -0.178208,    0.09125351, -0.69003828

			 
