element,temperature_K,alpha1_eV_A2,beta1_eV_A2,alpha2_eV_A2,beta2_eV_A2
Cr,300,-0.844,-0.405,-2.242,0.098
V,300,-0.679,-0.452,-0.405,0.134
Fe,300,-1.054,-0.937,-0.913,-0.034
Fe,30,-1.11,-0.972,-1.053,-0.026
Fe,50,-1.094,-0.977,-1.048,-0.019
Fe,130,-1.083,-0.97,-1.066,-0.027
Fe,298,-1.02,-0.974,-1.092,-0.094
Fe,299,-1.022,-0.959,-1.035,-0.072
Fe,300,-0.985,-0.976,-1.074,-0.144
Fe,300,-1.037,-0.929,-0.978,-0.039
Fe,510,-0.957,-0.922,-0.931,-0.081
Fe,523,-0.994,-0.947,-0.952,-0.081
Fe,595,-0.928,-0.942,-0.983,-0.11
Fe,647,-0.926,-0.916,-0.843,-0.102
Fe,687,-0.877,-0.939,-0.934,-0.128
Fe,740,-0.925,-0.919,-0.895,-0.119
Fe,773,-0.844,-0.947,-0.94,-0.149
Fe,805,-0.84,-0.924,-0.876,-0.108
Fe,842,-0.828,-0.923,-0.889,-0.129
Fe,870,-0.823,-0.931,-0.881,-0.126
Fe,900,-0.791,-0.913,-0.811,-0.159
Fe,923,-0.804,-0.932,-0.869,-0.13
Fe,934,-0.782,-0.925,-0.863,-0.14
Fe,962,-0.771,-0.924,-0.844,-0.115
Fe,963,-0.77,-0.925,-0.846,-0.156
Fe,981,-0.766,-0.916,-0.825,-0.137
Fe,1000,-0.77,-0.916,-0.831,-0.144
Fe,1003,-0.762,-0.907,-0.699,-0.14
Fe,1010,-0.766,-0.921,-0.784,-0.124
Fe,1023,-0.755,-0.93,-0.772,-0.152
Fe,1024,-0.758,-0.925,-0.793,-0.14
Fe,1033,-0.738,-0.936,-0.788,-0.147
Fe,1034,-0.719,-0.911,-0.739,-0.129
Fe,1039,-0.743,-0.897,-0.704,-0.131
Fe,1081,-0.753,-0.9,-0.679,-0.069
Fe,1090,-0.719,-0.902,-0.688,-0.125
Fe,1123,-0.676,-0.867,-0.69,-0.136
Fe,1135,-0.716,-0.904,-0.692,-0.12
Fe,1150,-0.701,-0.891,-0.712,-0.109
Fe,1158,-0.684,-0.89,-0.661,-0.127
Fe,1180,-0.676,-0.906,-0.721,-0.124
