,mass,a_val,alpha0,alpha1,beta1,alpha2,beta2,fitness1,fitness2,fitness3,fitness_norm,min_frequency,max_frequency
mass,1.0,5.87148568153294e-14,-0.02079783616494948,0.16244112470563582,0.03968718569979323,-0.030609826266746618,-0.08997243090733645,-0.0036515358830720977,0.01832919943107327,0.08381282701386772,0.08410083405696613,0.07411451693800346,-0.6815617430413919
a_val,5.87148568153294e-14,1.0,-0.2531640458702093,-0.08402569877868077,-0.06882959179964179,-0.0912869755097289,0.2502568409150204,-0.006236184961337978,0.022319483221873354,-0.022065612589346546,-0.011110711329294469,0.07389918077098007,-0.1697438695907741
alpha0,-0.02079783616494948,-0.2531640458702093,1.0,-0.32574776988213394,0.01238802677499245,0.048300103064738635,-0.3830029522929483,-0.0012198507411216389,0.06313568298897662,0.029567307483461883,0.05429279410518447,-0.002701023966409267,0.6144778182223368
alpha1,0.16244112470563582,-0.08402569877868077,-0.32574776988213394,1.0,0.09155326842173434,0.33281551046089414,-0.6629555664747702,0.0020796523950419045,0.022802812510071425,0.016326065831769584,0.02793345616940646,-0.027628510048672193,-0.15508742715512197
beta1,0.03968718569979323,-0.06882959179964179,0.01238802677499245,0.09155326842173434,1.0,0.07918626067059215,-0.1068208829708665,0.0014275203669716534,-0.0207159114579044,0.01886131393698104,0.007433048176814942,-0.166168013343711,-0.004760655945002162
alpha2,-0.030609826266746618,-0.0912869755097289,0.048300103064738635,0.33281551046089414,0.07918626067059215,1.0,-0.6955245279916403,0.00497146103169999,0.009128224211431342,0.016743062046649573,0.00341001587034659,0.03818587226171644,-0.054188422744364716
beta2,-0.08997243090733645,0.2502568409150204,-0.3830029522929483,-0.6629555664747702,-0.1068208829708665,-0.6955245279916403,1.0,-0.002896376244921186,-0.05455202480996517,-0.03609093373972241,-0.052206525555395386,0.01711715367764982,-0.23165406122825838
fitness1,-0.0036515358830720977,-0.006236184961337978,-0.0012198507411216389,0.0020796523950419045,0.0014275203669716534,0.00497146103169999,-0.002896376244921186,1.0,-0.0020242741391180235,-0.0027049856355155747,0.0325293236580214,-0.00022256186782237657,0.0031865683822262154
fitness2,0.01832919943107327,0.022319483221873354,0.06313568298897662,0.022802812510071425,-0.0207159114579044,0.009128224211431342,-0.05455202480996517,-0.0020242741391180235,1.0,0.31907212023248155,0.6610309312633619,0.150357543821489,0.03233194557255407
fitness3,0.08381282701386772,-0.022065612589346546,0.029567307483461883,0.016326065831769584,0.01886131393698104,0.016743062046649573,-0.03609093373972241,-0.0027049856355155747,0.31907212023248155,1.0,0.9149606148996796,0.06360088547808275,-0.03755973345925559
fitness_norm,0.08410083405696613,-0.011110711329294469,0.05429279410518447,0.02793345616940646,0.007433048176814942,0.00341001587034659,-0.052206525555395386,0.0325293236580214,0.6610309312633619,0.9149606148996796,1.0,0.10668802337478724,-0.017644555076554304
min_frequency,0.07411451693800346,0.07389918077098007,-0.002701023966409267,-0.027628510048672193,-0.166168013343711,0.03818587226171644,0.01711715367764982,-0.00022256186782237657,0.150357543821489,0.06360088547808275,0.10668802337478724,1.0,-0.11446166927781343
max_frequency,-0.6815617430413919,-0.1697438695907741,0.6144778182223368,-0.15508742715512197,-0.004760655945002162,-0.054188422744364716,-0.23165406122825838,0.0031865683822262154,0.03233194557255407,-0.03755973345925559,-0.017644555076554304,-0.11446166927781343,1.0
