,mass,a_val,alpha0,alpha1,beta1,alpha2,beta2,fitness1,fitness2,fitness3,fitness_norm,min_frequency,max_frequency
mass,1.0,0.0,-0.031870010563671496,0.1523274373264416,0.044747951263829855,0.044937178559509,-0.10941674640356155,-0.003651535881872031,0.014201680348544436,0.23300165149086763,0.20575010936421909,0.08529595953808819,-0.6719688517061975
a_val,0.0,1.0,-0.2809790707047815,-0.06785491930292828,-0.0769465071479297,-0.08525732583907554,0.26853977831613624,-0.006236184733612928,-0.03218919031890704,-0.04693613390708205,-0.0381021864227838,0.11636949759468947,-0.13915790511443998
alpha0,-0.031870010563671496,-0.2809790707047815,1.0,-0.30364968819513144,0.017476603714946887,0.09078854351280881,-0.35205023888975173,-0.000359465529613953,0.0012411680461625278,0.052268143998462926,0.07562058830613305,0.010435154590815602,0.6146699189087637
alpha1,0.1523274373264416,-0.06785491930292828,-0.30364968819513144,1.0,0.08041730759882422,0.32462359579123784,-0.6614816474293826,0.0028635848894090327,0.04789403416264774,0.047627861534573865,0.04557016680588086,-0.07083497004975191,-0.14108775990277475
beta1,0.044747951263829855,-0.0769465071479297,0.017476603714946887,0.08041730759882422,1.0,0.02668446751740614,-0.07866398848792057,0.0018376042849571346,-0.051649445540792295,0.0440808820597702,0.029952175339164822,-0.10730139718717319,0.010738181173706457
alpha2,0.044937178559509,-0.08525732583907554,0.09078854351280881,0.32462359579123784,0.02668446751740614,1.0,-0.6110903954999762,0.003694217479320814,-0.006781805575225869,-0.004753972978935546,0.009856295063152888,0.4179898342104251,-0.0779286281152531
beta2,-0.10941674640356155,0.26853977831613624,-0.35205023888975173,-0.6614816474293826,-0.07866398848792057,-0.6110903954999762,1.0,-0.0026801794285013663,-0.036283106899703786,-0.014909753394255364,-0.03614688330128108,0.14079878174019456,-0.1938351320651991
fitness1,-0.003651535881872031,-0.006236184733612928,-0.000359465529613953,0.0028635848894090327,0.0018376042849571346,0.003694217479320814,-0.0026801794285013663,1.0,-0.008199861079682487,-0.005487494306786366,0.009185806655223245,0.0003121192008995462,0.00359457221575966
fitness2,0.014201680348544436,-0.03218919031890704,0.0012411680461625278,0.04789403416264774,-0.051649445540792295,-0.006781805575225869,-0.036283106899703786,-0.008199861079682487,1.0,0.3122871562492318,0.5129279204267344,0.013488583034098143,0.018720525116604023
fitness3,0.23300165149086763,-0.04693613390708205,0.052268143998462926,0.047627861534573865,0.0440808820597702,-0.004753972978935546,-0.014909753394255364,-0.005487494306786366,0.3122871562492318,1.0,0.9393882832018081,-0.0117433767901973,-0.1112696608284409
fitness_norm,0.20575010936421909,-0.0381021864227838,0.07562058830613305,0.04557016680588086,0.029952175339164822,0.009856295063152888,-0.03614688330128108,0.009185806655223245,0.5129279204267344,0.9393882832018081,1.0,0.0018512813946265742,-0.07114220676936607
min_frequency,0.08529595953808819,0.11636949759468947,0.010435154590815602,-0.07083497004975191,-0.10730139718717319,0.4179898342104251,0.14079878174019456,0.0003121192008995462,0.013488583034098143,-0.0117433767901973,0.0018512813946265742,1.0,-0.10155489923260018
max_frequency,-0.6719688517061975,-0.13915790511443998,0.6146699189087637,-0.14108775990277475,0.010738181173706457,-0.0779286281152531,-0.1938351320651991,0.00359457221575966,0.018720525116604023,-0.1112696608284409,-0.07114220676936607,-0.10155489923260018,1.0
