,mass,a_val,alpha0,alpha1,beta1,alpha2,beta2,fitness2,fitness3,fitness_norm,min_frequency,max_frequency
mass,1.0,5.87148568153294e-14,-0.04884161293492516,0.04843289131746245,-0.030949361569819388,0.24307622173865595,-0.12512034260193503,0.02967511761040179,0.07650662525129175,0.08256772403690583,0.001010913256945922,-0.6702449432203955
a_val,5.87148568153294e-14,1.0,-0.11842995101967249,-0.09558703496592877,0.04239592388946692,-0.1799698827818826,0.25995446413173967,-0.010644366510102192,0.004414977351683401,-0.0009198053957230415,0.031735817880332626,-0.09459320159778103
alpha0,-0.04884161293492516,-0.11842995101967249,1.0,-0.5663591614314486,-0.005898335390953692,0.3189766608869622,-0.37901967509325873,-0.05456386298801309,0.010605307864046745,-0.01091280671515355,-0.044498842401804475,0.6736716018094142
alpha1,0.04843289131746245,-0.09558703496592877,-0.5663591614314486,1.0,-0.07195353113345003,-0.06931193407945402,-0.45126752695377853,0.08116363777213376,-0.0271342117399569,0.01235744281782381,0.04709242324216027,-0.3089822618745232
beta1,-0.030949361569819388,0.04239592388946692,-0.005898335390953692,-0.07195353113345003,1.0,0.015543501789617683,0.061398574459343595,0.010703863638429827,0.03585505640907063,0.038272518245841394,-0.1268094069177847,0.04394262467272214
alpha2,0.24307622173865595,-0.1799698827818826,0.3189766608869622,-0.06931193407945402,0.015543501789617683,1.0,-0.6528496407140669,-0.01462592480653419,0.02718595015031755,0.0017578404805868107,0.1179100491209517,-0.05030479001339021
beta2,-0.12512034260193503,0.25995446413173967,-0.37901967509325873,-0.45126752695377853,0.061398574459343595,-0.6528496407140669,1.0,-0.023523928216910232,0.004104414847546236,-0.002612815494840139,-0.05508441207237974,-0.19290432464171886
fitness2,0.02967511761040179,-0.010644366510102192,-0.05456386298801309,0.08116363777213376,0.010703863638429827,-0.01462592480653419,-0.023523928216910232,1.0,0.3238436572345253,0.63885654112658,0.10782865119860144,-0.04570109169049506
fitness3,0.07650662525129175,0.004414977351683401,0.010605307864046745,-0.0271342117399569,0.03585505640907063,0.02718595015031755,0.004104414847546236,0.3238436572345253,1.0,0.9285993558578053,0.11936996050352632,-0.03703323926866058
fitness_norm,0.08256772403690583,-0.0009198053957230415,-0.01091280671515355,0.01235744281782381,0.038272518245841394,0.0017578404805868107,-0.002612815494840139,0.63885654112658,0.9285993558578053,1.0,0.1272338889667472,-0.048546449782501735
min_frequency,0.001010913256945922,0.031735817880332626,-0.044498842401804475,0.04709242324216027,-0.1268094069177847,0.1179100491209517,-0.05508441207237974,0.10782865119860144,0.11936996050352632,0.1272338889667472,1.0,-0.0836006242783751
max_frequency,-0.6702449432203955,-0.09459320159778103,0.6736716018094142,-0.3089822618745232,0.04394262467272214,-0.05030479001339021,-0.19290432464171886,-0.04570109169049506,-0.03703323926866058,-0.048546449782501735,-0.0836006242783751,1.0
