,mass,a_val,alpha0,alpha1,beta1,alpha2,beta2,fitness2,fitness3,fitness_norm,min_frequency,max_frequency
mass,1.0,0.0,-0.09142575445919159,0.014137984286632634,-0.021462279280558383,0.12138285025350562,-0.11748781912324124,0.16918904866145323,0.1467915163952512,0.14238065212619613,-0.04006378747998927,-0.6636756428326844
a_val,0.0,1.0,-0.1091438490766721,-0.12375663907290382,0.05037728566789475,-0.14946525611981334,0.2580401725852988,0.0017235020834259246,-0.010313155829369444,-0.007260195580710035,0.07124105493194664,-0.02955334227953491
alpha0,-0.09142575445919159,-0.1091438490766721,1.0,-0.5687709827798941,-0.011452890574822166,0.2018167612693754,-0.36333188427172847,-0.1253897526481214,-0.031232394528642175,-0.06421048272344744,-0.10035228675146354,0.6817144175939931
alpha1,0.014137984286632634,-0.12375663907290382,-0.5687709827798941,1.0,-0.061985562040225956,0.01827322206039249,-0.3773156217107331,0.19760020245524243,0.06562278819351208,0.09502991957025846,0.10977251443937532,-0.27052976158940023
beta1,-0.021462279280558383,0.05037728566789475,-0.011452890574822166,-0.061985562040225956,1.0,-0.009210958729166774,0.05895985742636065,0.017706575505300838,0.05729946208373296,0.05224137180368021,-0.07277242035418752,0.03839501081417422
alpha2,0.12138285025350562,-0.14946525611981334,0.2018167612693754,0.01827322206039249,-0.009210958729166774,1.0,-0.5594178954786565,-0.03190641597957718,-0.029333088207212747,-0.05180600001659751,0.5249028703676543,-0.015235398594334792
beta2,-0.11748781912324124,0.2580401725852988,-0.36333188427172847,-0.3773156217107331,0.05895985742636065,-0.5594178954786565,1.0,-0.12141923368627933,0.03219934128748361,0.02556031297275581,0.030096524775689575,-0.1942445507831748
fitness2,0.16918904866145323,0.0017235020834259246,-0.1253897526481214,0.19760020245524243,0.017706575505300838,-0.03190641597957718,-0.12141923368627933,1.0,0.32945837419664104,0.49647638395645255,-0.10410795964325173,-0.19440832119344406
fitness3,0.1467915163952512,-0.010313155829369444,-0.031232394528642175,0.06562278819351208,0.05729946208373296,-0.029333088207212747,0.03219934128748361,0.32945837419664104,1.0,0.9632828057672245,-0.005867319102751096,-0.07006750125477886
fitness_norm,0.14238065212619613,-0.007260195580710035,-0.06421048272344744,0.09502991957025846,0.05224137180368021,-0.05180600001659751,0.02556031297275581,0.49647638395645255,0.9632828057672245,1.0,-0.027693765962711992,-0.08937280751413937
min_frequency,-0.04006378747998927,0.07124105493194664,-0.10035228675146354,0.10977251443937532,-0.07277242035418752,0.5249028703676543,0.030096524775689575,-0.10410795964325173,-0.005867319102751096,-0.027693765962711992,1.0,-0.07730739248087523
max_frequency,-0.6636756428326844,-0.02955334227953491,0.6817144175939931,-0.27052976158940023,0.03839501081417422,-0.015235398594334792,-0.1942445507831748,-0.19440832119344406,-0.07006750125477886,-0.08937280751413937,-0.07730739248087523,1.0
