,mass,a_val,alpha0,alpha1,beta1,alpha2,beta2,fitness1,fitness2,fitness3,fitness_norm,min_frequency,max_frequency
mass,1.0,1.9996419275980755e-14,0.014736421407406474,0.010271222342413861,0.0026078685934300735,0.07726380608177917,-0.05416748977015885,-0.01145120491239903,0.02573910620558973,0.0654492847398041,0.06806964091921067,0.06388042138902275,-0.6804102776638643
a_val,1.9996419275980755e-14,1.0,-0.09265820491641331,-0.048814230296339446,-0.010543711099029927,-0.06695013333404197,0.13676227207600342,0.00039837861723711945,-3.9373380627274535e-05,0.0034060069309121564,0.003906795975036128,0.025783082901735945,-0.07579904598890043
alpha0,0.014736421407406474,-0.09265820491641331,1.0,-0.5018092430466662,-0.004605473735666285,0.10555035742368914,-0.27524035675513864,0.016685624235645003,0.0032140797269247473,0.013329636023650409,0.017129955508803623,-0.016665010628592908,0.5944975582793979
alpha1,0.010271222342413861,-0.048814230296339446,-0.5018092430466662,1.0,0.026161666115417634,0.09662543959748124,-0.5981283857847881,-0.01291376669711664,0.0014663965933519824,-0.05167912358790842,-0.041927043186192454,0.002306568885015391,-0.2005754645392211
beta1,0.0026078685934300735,-0.010543711099029927,-0.004605473735666285,0.026161666115417634,1.0,0.04393393893935185,-0.04040260946559854,-0.0011426052283817455,-0.011566091334385239,0.005786241932026737,0.0019730477007860086,-0.12992748441347307,0.001911380740802371
alpha2,0.07726380608177917,-0.06695013333404197,0.10555035742368914,0.09662543959748124,0.04393393893935185,1.0,-0.6134641641066192,0.020478257749864438,0.026652179951877422,0.0601154203585671,0.04714414722316371,0.09583130501348193,-0.0916217602048187
beta2,-0.05416748977015885,0.13676227207600342,-0.27524035675513864,-0.5981283857847881,-0.04040260946559854,-0.6134641641066192,1.0,-0.009146032745014797,-0.012414955266422218,0.009928470059887414,0.005630374482466599,-0.022064804688016196,-0.18069657338584683
fitness1,-0.01145120491239903,0.00039837861723711945,0.016685624235645003,-0.01291376669711664,-0.0011426052283817455,0.020478257749864438,-0.009146032745014797,1.0,0.002246159397321928,-0.0036085412118050083,0.08454524969168652,0.022003963098279025,0.013087210894122958
fitness2,0.02573910620558973,-3.9373380627274535e-05,0.0032140797269247473,0.0014663965933519824,-0.011566091334385239,0.026652179951877422,-0.012414955266422218,0.002246159397321928,1.0,0.3293331479629405,0.6475288151480456,0.11506389111724367,-0.020201422952325666
fitness3,0.0654492847398041,0.0034060069309121564,0.013329636023650409,-0.05167912358790842,0.005786241932026737,0.0601154203585671,0.009928470059887414,-0.0036085412118050083,0.3293331479629405,1.0,0.9217739201454065,0.08804947226774441,-0.05351234454916366
fitness_norm,0.06806964091921067,0.003906795975036128,0.017129955508803623,-0.041927043186192454,0.0019730477007860086,0.04714414722316371,0.005630374482466599,0.08454524969168652,0.6475288151480456,0.9217739201454065,1.0,0.10667142322586848,-0.05013208337649043
min_frequency,0.06388042138902275,0.025783082901735945,-0.016665010628592908,0.002306568885015391,-0.12992748441347307,0.09583130501348193,-0.022064804688016196,0.022003963098279025,0.11506389111724367,0.08804947226774441,0.10667142322586848,1.0,-0.1282283050027678
max_frequency,-0.6804102776638643,-0.07579904598890043,0.5944975582793979,-0.2005754645392211,0.001911380740802371,-0.0916217602048187,-0.18069657338584683,0.013087210894122958,-0.020201422952325666,-0.05351234454916366,-0.05013208337649043,-0.1282283050027678,1.0
