,mass,a_val,alpha0,alpha1,beta1,alpha2,beta2,fitness1,fitness2,fitness3,fitness_norm,min_frequency,max_frequency
mass,1.0,0.0,0.012735403843505758,0.005217916136543501,0.008152354038283452,0.08534397955301785,-0.06390828898207922,-0.012003077660188549,0.044346931509558846,0.12306532235993832,0.12124478439459721,0.06665834036475775,-0.6808448357466608
a_val,0.0,1.0,-0.0949965173578396,-0.05729249811814298,-0.013025314549102556,-0.03938428490287852,0.1460970869155707,0.0004515064564671503,0.0009116478600700844,0.029751770649978908,0.020907939585301887,0.06013069257717777,-0.06884793480341161
alpha0,0.012735403843505758,-0.0949965173578396,1.0,-0.49007246239865954,-0.008702961799731991,0.09376496928233481,-0.2420128377441026,0.015249707505735333,-0.02765406696850889,0.040947720342351224,0.03549294965705575,-0.019809173568192597,0.5789961889538409
alpha1,0.005217916136543501,-0.05729249811814298,-0.49007246239865954,1.0,0.023619637738613097,0.1617836505623217,-0.5807456958312931,-0.01282748182224482,0.029724839560158582,-0.050012104048382376,-0.03581033255887263,0.014366270438647523,-0.18658331922544605
beta1,0.008152354038283452,-0.013025314549102556,-0.008702961799731991,0.023619637738613097,1.0,0.026988506948335423,-0.027680534910870386,4.591450617777704e-06,-0.03010647370644597,0.023144680207677903,0.013644603867295924,-0.06386066739624989,-0.008778407381794676
alpha2,0.08534397955301785,-0.03938428490287852,0.09376496928233481,0.1617836505623217,0.026988506948335423,1.0,-0.5650698532958993,0.011805911088449977,0.03850686337124122,0.011194643969147045,0.02358742461971233,0.5012381681828089,-0.09902374082735654
beta2,-0.06390828898207922,0.1460970869155707,-0.2420128377441026,-0.5807456958312931,-0.027680534910870386,-0.5650698532958993,1.0,-0.011880283905417736,-0.014517723693267273,0.08124774765997164,0.06397221929997372,0.06456697742265212,-0.14966660347799193
fitness1,-0.012003077660188549,0.0004515064564671503,0.015249707505735333,-0.01282748182224482,4.591450617777704e-06,0.011805911088449977,-0.011880283905417736,1.0,0.008472369207223676,-0.0065596607507278646,0.022703093495766245,-0.002288598735859005,0.012825729898315368
fitness2,0.044346931509558846,0.0009116478600700844,-0.02765406696850889,0.029724839560158582,-0.03010647370644597,0.03850686337124122,-0.014517723693267273,0.008472369207223676,1.0,0.3441499619032256,0.5279781161784618,0.02049029366493602,-0.06349729541742234
fitness3,0.12306532235993832,0.029751770649978908,0.040947720342351224,-0.050012104048382376,0.023144680207677903,0.011194643969147045,0.08124774765997164,-0.0065596607507278646,0.3441499619032256,1.0,0.9515242729440166,-0.0016400580053034443,-0.07149709930108904
fitness_norm,0.12124478439459721,0.020907939585301887,0.03549294965705575,-0.03581033255887263,0.013644603867295924,0.02358742461971233,0.06397221929997372,0.022703093495766245,0.5279781161784618,0.9515242729440166,1.0,0.007969999219994394,-0.07219221017938839
min_frequency,0.06665834036475775,0.06013069257717777,-0.019809173568192597,0.014366270438647523,-0.06386066739624989,0.5012381681828089,0.06456697742265212,-0.002288598735859005,0.02049029366493602,-0.0016400580053034443,0.007969999219994394,1.0,-0.11487010722641203
max_frequency,-0.6808448357466608,-0.06884793480341161,0.5789961889538409,-0.18658331922544605,-0.008778407381794676,-0.09902374082735654,-0.14966660347799193,0.012825729898315368,-0.06349729541742234,-0.07149709930108904,-0.07219221017938839,-0.11487010722641203,1.0
