element,temperature_K,alpha1,beta1,alpha2,beta2,alpha0,source,u_alpha1_2beta1,v_alpha1_minus_beta1,r_alpha2,dataset,mass,a_val
Cr,300.0,-0.844,-0.405,-2.242,0.098,10.844000000000001,experiment,-1.654,-0.43899999999999995,0.9581196581196582,experiment,,
V,300.0,-0.679,-0.452,-0.405,0.134,5.706000000000001,experiment,-1.5830000000000002,-0.22700000000000004,0.75139146567718,experiment,,
Fe,300.0,-1.054,-0.937,-0.913,-0.034,10.394,experiment,-2.928,-0.11699999999999999,0.9640971488912354,experiment,,
Fe,30.0,-1.11,-0.972,-1.053,-0.026,11.09,experiment,-3.0540000000000003,-0.13800000000000012,0.9759036144578312,experiment,,
Fe,50.0,-1.094,-0.977,-1.048,-0.019,10.924000000000001,experiment,-3.048,-0.1170000000000001,0.9821930646672915,experiment,,
Fe,130.0,-1.083,-0.97,-1.066,-0.027,10.904,experiment,-3.0229999999999997,-0.11299999999999999,0.9752973467520586,experiment,,
Fe,298.0,-1.02,-0.974,-1.092,-0.094,10.72,experiment,-2.968,-0.04600000000000004,0.9207419898819561,experiment,,
Fe,299.0,-1.022,-0.959,-1.035,-0.072,10.534,experiment,-2.94,-0.06300000000000006,0.9349593495934959,experiment,,
Fe,300.0,-0.985,-0.976,-1.074,-0.144,10.604000000000001,experiment,-2.937,-0.009000000000000008,0.8817733990147784,experiment,,
Fe,300.0,-1.037,-0.929,-0.978,-0.039,10.408,experiment,-2.895,-0.10799999999999987,0.9616519174041299,experiment,,
Fe,510.0,-0.957,-0.922,-0.931,-0.081,9.842,experiment,-2.801,-0.03499999999999992,0.9199604743083004,experiment,,
Fe,523.0,-0.994,-0.947,-0.952,-0.081,10.18,experiment,-2.888,-0.04700000000000004,0.9215876089060988,experiment,,
Fe,595.0,-0.928,-0.942,-0.983,-0.11,9.83,experiment,-2.812,0.013999999999999901,0.8993595608417201,experiment,,
Fe,647.0,-0.926,-0.916,-0.843,-0.102,9.502,experiment,-2.758,-0.010000000000000009,0.8920634920634921,experiment,,
Fe,687.0,-0.877,-0.939,-0.934,-0.128,9.396,experiment,-2.755,0.061999999999999944,0.879472693032015,experiment,,
Fe,740.0,-0.925,-0.919,-0.895,-0.119,9.666,experiment,-2.763,-0.006000000000000005,0.8826429980276134,experiment,,
Fe,773.0,-0.844,-0.947,-0.94,-0.149,9.228,experiment,-2.738,0.10299999999999998,0.8631772268135904,experiment,,
Fe,805.0,-0.84,-0.924,-0.876,-0.108,8.904,experiment,-2.688,0.08400000000000007,0.8902439024390244,experiment,,
Fe,842.0,-0.828,-0.923,-0.889,-0.129,8.918,experiment,-2.674,0.09500000000000008,0.8732809430255403,experiment,,
Fe,870.0,-0.823,-0.931,-0.881,-0.126,8.85,experiment,-2.685,0.1080000000000001,0.8748758689175768,experiment,,
Fe,900.0,-0.791,-0.913,-0.811,-0.159,8.586,experiment,-2.617,0.122,0.8360824742268042,experiment,,
Fe,923.0,-0.804,-0.932,-0.869,-0.13,8.69,experiment,-2.668,0.128,0.8698698698698699,experiment,,
Fe,934.0,-0.782,-0.925,-0.863,-0.14,8.542,experiment,-2.632,0.14300000000000002,0.8604187437686938,experiment,,
Fe,962.0,-0.771,-0.924,-0.844,-0.115,8.316,experiment,-2.619,0.15300000000000002,0.8800834202294057,experiment,,
Fe,963.0,-0.77,-0.925,-0.846,-0.156,8.476,experiment,-2.62,0.15500000000000003,0.844311377245509,experiment,,
Fe,981.0,-0.766,-0.916,-0.825,-0.137,8.326,experiment,-2.598,0.15000000000000002,0.8575883575883576,experiment,,
Fe,1000.0,-0.77,-0.916,-0.831,-0.144,8.398,experiment,-2.6020000000000003,0.14600000000000002,0.8523076923076923,experiment,,
Fe,1003.0,-0.762,-0.907,-0.699,-0.14,8.054,experiment,-2.576,0.14500000000000002,0.833134684147795,experiment,,
Fe,1010.0,-0.766,-0.921,-0.784,-0.124,8.192,experiment,-2.608,0.15500000000000003,0.8634361233480177,experiment,,
Fe,1023.0,-0.755,-0.93,-0.772,-0.152,8.192,experiment,-2.615,0.17500000000000004,0.8354978354978355,experiment,,
Fe,1024.0,-0.758,-0.925,-0.793,-0.14,8.21,experiment,-2.608,0.16700000000000004,0.84994640943194,experiment,,
Fe,1033.0,-0.738,-0.936,-0.788,-0.147,8.068,experiment,-2.6100000000000003,0.19800000000000006,0.8427807486631016,experiment,,
