element,temperature_K,alpha1,beta1,alpha2,beta2,source,alpha0,alpha1_plus_2beta1,alpha1_minus_beta1,r_alpha2,family,PC1,PC2,PC3,PC4,PC5
Ca,726,-0.25053417424885516,-0.2186400628783606,-0.09006497594446884,0.07377463726012624,Ca_screenshot_converted_from_N_per_m,1.8893047968392742,-0.6878143000055763,-0.031894111370494554,0.5497142857109305,$\alpha_2$-dominated,0.9525567669274762,-1.9306292279225623,-2.594059044837934,1.3366320487648355,5.393644653457997e-05
Ca,750,-0.24566579717077572,-0.2235708550471846,-0.08994014576297964,0.057796374029506686,Ca_screenshot_converted_from_N_per_m,1.9140211727741385,-0.692807507265145,-0.022094942123591116,0.608787494714933,$\alpha_2$-dominated,0.9233438955788863,-1.9317848904107904,-2.5873703454281443,1.3168352358531663,5.4092450600055833e-05
Cr,300,-0.844,-0.405,-2.242,0.098,compiled_csv,10.844000000000001,-1.654,-0.43899999999999995,0.9581196581192487,$\alpha_2$-dominated,2.0605593010102696,-1.6089792442981816,3.3804255244150245,-1.9759263853062616,-0.0003583693678643386
Fe,30,-1.11,-0.972,-1.053,-0.026,compiled_csv,11.09,-3.0540000000000003,-0.13800000000000012,0.9759036144569267,$\alpha_2$-dominated,0.02783698313341959,-2.05891810071993,3.5855482500891016,-0.2139054323837027,-0.0002914655480563672
Fe,50,-1.094,-0.977,-1.048,-0.019,compiled_csv,10.924000000000001,-3.048,-0.1170000000000001,0.9821930646663709,$\alpha_2$-dominated,0.03625581361042296,-2.1108802797698014,3.489778158951179,-0.19727221287964283,-0.0002856868155220288
Fe,130,-1.083,-0.97,-1.066,-0.027,compiled_csv,10.904,-3.0229999999999997,-0.11299999999999999,0.9752973467511662,$\alpha_2$-dominated,0.053156090403831964,-2.109226228065455,3.4704778928622355,-0.23654331652175278,-0.00028553208773570164
Fe,298,-1.02,-0.974,-1.092,-0.094,compiled_csv,10.72,-2.968,-0.04600000000000004,0.9207419898811797,$\alpha_2$-dominated,-0.0034382400592905347,-2.164205387196886,3.315107835551562,-0.3637954371926492,-0.00027639803545832884
Fe,299,-1.022,-0.959,-1.035,-0.072,compiled_csv,10.534,-2.94,-0.06300000000000006,0.9349593495926513,$\alpha_2$-dominated,0.007110409247524622,-2.1420574970730333,3.1990261431992284,-0.2476444558137519,-0.0002687864998854344
Fe,300,-1.054,-0.937,-0.913,-0.034,compiled_csv,10.394,-2.928,-0.11699999999999999,0.9640971488902175,$\alpha_2$-dominated,-0.013068634442090193,-2.051783896008385,3.1094845044050663,-0.008903940677534888,-0.0002608131235211423
Fe,300,-0.985,-0.976,-1.074,-0.144,compiled_csv,10.604000000000001,-2.937,-0.009000000000000008,0.8817733990140544,$\alpha_2$-dominated,-0.07913482606883603,-2.1720804158815157,3.2063995687299185,-0.39979539041304196,-0.00026860117649527715
Fe,300,-1.037,-0.929,-0.978,-0.039,compiled_csv,10.408,-2.895,-0.10799999999999987,0.9616519174031842,$\alpha_2$-dominated,0.04889485309951937,-2.0720639918635273,3.1196033536044223,-0.1183738704451075,-0.0002642453275018675
Fe,510,-0.957,-0.922,-0.931,-0.081,compiled_csv,9.842,-2.801,-0.03499999999999992,0.9199604743073913,$\alpha_2$-dominated,-0.00035506592086963874,-2.1533859889581866,2.728835823927568,-0.10082263606825997,-0.00023994847494551814
Fe,523,-0.994,-0.947,-0.952,-0.081,compiled_csv,10.18,-2.888,-0.04700000000000004,0.9215876089052065,$\alpha_2$-dominated,-0.038712909080303996,-2.1429163819398775,2.9548921398823804,-0.13063953734723804,-0.00025223282897218855
Fe,595,-0.928,-0.942,-0.983,-0.11,compiled_csv,9.83,-2.812,0.013999999999999901,0.8993595608408972,$\alpha_2$-dominated,-0.01842078925051716,-2.23167493824012,2.7194265943271128,-0.21840891984798208,-0.00023986364793735033
Fe,647,-0.926,-0.916,-0.843,-0.102,compiled_csv,9.502,-2.758,-0.010000000000000009,0.8920634920625481,$\alpha_2$-dominated,-0.07542136134954507,-2.1584015271362955,2.4874575342132417,0.009216704633907644,-0.00022283572807185067
Fe,687,-0.877,-0.939,-0.934,-0.128,compiled_csv,9.396,-2.755,0.061999999999999944,0.8794726930311869,$\alpha_2$-dominated,-0.052792690882270434,-2.2947412359868027,2.4292793346298844,-0.1661171599378287,-0.00022137848545141804
Fe,740,-0.925,-0.919,-0.895,-0.119,compiled_csv,9.666,-2.763,-0.006000000000000005,0.8826429980267428,$\alpha_2$-dominated,-0.06576161928118512,-2.1553334461433247,2.5861203126690007,-0.09369185746555497,-0.00022999616775639997
Fe,773,-0.844,-0.947,-0.94,-0.149,compiled_csv,9.228,-2.738,0.10299999999999998,0.8631772268127977,$\alpha_2$-dominated,-0.07467030578942509,-2.3542186573058874,2.3156932114105064,-0.202486356141116,-0.00021438839419020574
Fe,805,-0.84,-0.924,-0.876,-0.108,compiled_csv,8.904,-2.688,0.08400000000000007,0.8902439024381197,$\alpha_2$-dominated,-0.02567110050512224,-2.347879281238223,2.122212686657387,-0.0521071815099949,-0.00020286271997431996
Fe,842,-0.828,-0.923,-0.889,-0.129,compiled_csv,8.918,-2.674,0.09500000000000008,0.8732809430246824,$\alpha_2$-dominated,-0.040611801810844145,-2.3451079998241817,2.117340826620807,-0.09955046676369278,-0.00020279441698316174
