element,temperature_K,alpha1_eV_A2,beta1_eV_A2,alpha2_eV_A2,beta2_eV_A2,source,r_alpha2,family,PC1,PC2
Cr,300,-0.844,-0.405,-2.242,0.098,experiment,0.9581196581192487,$\alpha_2$ larger,3.558972306094978,-0.5070099065513385
V,300,-0.679,-0.452,-0.405,0.134,experiment,0.751391465675786,$\alpha_2$ larger,1.502828339656978,-1.1577589988379073
Fe,300,-1.054,-0.937,-0.913,-0.034,experiment,0.9640971488902175,$\alpha_2$-dominated,2.44511244839928,-2.3563651782313104
Fe,30,-1.11,-0.972,-1.053,-0.026,experiment,0.9759036144569267,$\alpha_2$-dominated,2.6899490380359596,-2.4327383570344674
Fe,50,-1.094,-0.977,-1.048,-0.019,experiment,0.9821930646663709,$\alpha_2$-dominated,2.662854047495574,-2.429292674727051
Fe,130,-1.083,-0.97,-1.066,-0.027,experiment,0.9752973467511662,$\alpha_2$-dominated,2.651734643709468,-2.395979176322457
Fe,298,-1.02,-0.974,-1.092,-0.094,experiment,0.9207419898811797,$\alpha_2$ larger,2.4840724859630527,-2.32743171354495
Fe,299,-1.022,-0.959,-1.035,-0.072,experiment,0.9349593495926513,$\alpha_2$-dominated,2.458982001646416,-2.3210149450334243
Fe,300,-0.985,-0.976,-1.074,-0.144,experiment,0.8817733990140544,$\alpha_2$ larger,2.344918590422389,-2.3010101318429923
Fe,300,-1.037,-0.929,-0.978,-0.039,experiment,0.9616519174031842,$\alpha_2$-dominated,2.47211161429018,-2.2966167384328484
Fe,510,-0.957,-0.922,-0.931,-0.081,experiment,0.9199604743073913,$\alpha_2$ larger,2.2315967968700083,-2.2171767370797375
Fe,523,-0.994,-0.947,-0.952,-0.081,experiment,0.9215876089052065,$\alpha_2$ larger,2.317630544561664,-2.2992990666715336
Fe,595,-0.928,-0.942,-0.983,-0.11,experiment,0.8993595608408972,$\alpha_2$ larger,2.193373851667702,-2.208380742722139
Fe,647,-0.926,-0.916,-0.843,-0.102,experiment,0.8920634920625481,$\alpha_2$ larger,2.065550683561387,-2.206516724472006
Fe,687,-0.877,-0.939,-0.934,-0.128,experiment,0.8794726930311869,$\alpha_2$ larger,2.0313131365658554,-2.1686344990171604
Fe,740,-0.925,-0.919,-0.895,-0.119,experiment,0.8826429980267428,$\alpha_2$ larger,2.094658012398872,-2.1907939785529087
Fe,773,-0.844,-0.947,-0.94,-0.149,experiment,0.8631772268127977,$\alpha_2$ larger,1.9513875819333404,-2.148765430783394
Fe,805,-0.84,-0.924,-0.876,-0.108,experiment,0.8902439024381197,$\alpha_2$ larger,1.9308339018347362,-2.122919194273399
Fe,842,-0.828,-0.923,-0.889,-0.129,experiment,0.8732809430246824,$\alpha_2$ larger,1.8975863366963992,-2.102649907374152
Fe,870,-0.823,-0.931,-0.881,-0.126,experiment,0.874875868916708,$\alpha_2$ larger,1.883049541629528,-2.1177062884966
Fe,900,-0.791,-0.913,-0.811,-0.159,experiment,0.8360824742259422,$\alpha_2$ larger,1.720417341056611,-2.0731665923737634
Fe,923,-0.804,-0.932,-0.869,-0.13,experiment,0.8698698698689992,$\alpha_2$ larger,1.831583230754917,-2.1050392875841846
Fe,934,-0.782,-0.925,-0.863,-0.14,experiment,0.8604187437678359,$\alpha_2$ larger,1.7745085509662448,-2.069845418555171
Fe,962,-0.771,-0.924,-0.844,-0.115,experiment,0.880083420228488,$\alpha_2$ larger,1.7641327005203662,-2.065052633543828
Fe,963,-0.77,-0.925,-0.846,-0.156,experiment,0.8443113772446662,$\alpha_2$ larger,1.7176417388890919,-2.063618381157704
Fe,981,-0.766,-0.916,-0.825,-0.137,experiment,0.8575883575874661,$\alpha_2$ larger,1.7123778542221368,-2.0495786513253136
Fe,1000,-0.77,-0.916,-0.831,-0.144,experiment,0.8523076923068181,$\alpha_2$ larger,1.7176781078691539,-2.0509984162223196
Fe,1003,-0.762,-0.907,-0.699,-0.14,experiment,0.833134684146802,$\alpha_2$ larger,1.5800715932034068,-2.075617747709651
Fe,1010,-0.766,-0.921,-0.784,-0.124,experiment,0.8634361233470668,$\alpha_2$ larger,1.686675676414319,-2.0766993016912294
Fe,1023,-0.755,-0.93,-0.772,-0.152,experiment,0.8354978354969312,$\alpha_2$ larger,1.6218981003236639,-2.08801405405626
Fe,1024,-0.758,-0.925,-0.793,-0.14,experiment,0.8499464094310291,$\alpha_2$ larger,1.6620382887417537,-2.07281815251348
Fe,1033,-0.738,-0.936,-0.788,-0.147,experiment,0.8427807486622002,$\alpha_2$ larger,1.610993902255015,-2.0773744318476943
Fe,1034,-0.719,-0.911,-0.739,-0.129,experiment,0.8513824884782818,$\alpha_2$ larger,1.5514341100031221,-2.0252358282302003
Fe,1039,-0.743,-0.897,-0.704,-0.131,experiment,0.8431137724540801,$\alpha_2$ larger,1.5611200839634203,-2.0336529041035583
Fe,1081,-0.753,-0.9,-0.679,-0.069,experiment,0.9077540106939737,$\alpha_2$-dominated,1.6252438589115616,-2.062546650648805
Fe,1090,-0.719,-0.902,-0.688,-0.125,experiment,0.846248462483584,$\alpha_2$ larger,1.507394933867773,-2.026337689627169
Fe,1123,-0.676,-0.867,-0.69,-0.136,experiment,0.8353510895873664,$\alpha_2$ larger,1.4212938943271967,-1.9075679208366756
Fe,1135,-0.716,-0.904,-0.692,-0.12,experiment,0.8522167487674234,$\alpha_2$ larger,1.5111751496547072,-2.026162036464501
Fe,1150,-0.701,-0.891,-0.712,-0.109,experiment,0.8672350791706855,$\alpha_2$ larger,1.5168175107659985,-1.9761545500398012
Fe,1158,-0.684,-0.89,-0.661,-0.127,experiment,0.8388324873085802,$\alpha_2$ larger,1.4154844204197592,-1.9759362849389053
Fe,1180,-0.676,-0.906,-0.721,-0.124,experiment,0.8532544378688127,$\alpha_2$ larger,1.460615658741055,-1.9782639623123779
