dataset,mass,a_val,alpha0,alpha1,beta1,alpha2,beta2,alpha1_plus_2beta1,alpha1_minus_beta1,r_alpha2,second_neighbor_family,C_pc5,hyperplane_residual_raw,PC1,PC2,PC3,PC4,PC5
dataframe000015,50.0,2.2,5.173158,-0.32133752,-0.017194431,0.00016187962,-0.65061355,-0.3557264,-0.3041431,0.0002487488,$\beta_2$-dominated,4.889289876964068e-05,4.8892898769839726e-05,0.010392151329199661,-0.32943019969773163,-1.205245514426494,0.5607439534747622,4.889289876964068e-05
dataframe000015,50.0,2.2,5.173158,-0.32133752,0.02599165,0.00016187962,-0.65061355,-0.26935422,-0.34732917,0.0002487488,$\beta_2$-dominated,4.4043790731172405e-05,4.404379073139921e-05,0.08172212710551599,-0.22903907441212468,-1.223587063413049,0.5566054694986106,4.4043790731172405e-05
dataframe000015,50.0,2.2,5.173158,-0.32133752,0.02599165,0.00016187962,-0.65061355,-0.26935422,-0.34732917,0.0002487488,$\beta_2$-dominated,4.4043790731172405e-05,4.404379073139921e-05,0.08172212710551599,-0.22903907441212468,-1.223587063413049,0.5566054694986106,4.4043790731172405e-05
dataframe000015,50.0,2.2,5.173158,-0.32133752,0.63161784,0.00016187962,-0.65061355,0.94189817,-0.95295537,0.0002487488,$\beta_2$-dominated,-2.4188161236556397e-05,-2.4188161236301836e-05,1.0820284027376654,1.1788103951893372,-1.4808022964272072,0.49856897373742126,-2.4188161236556397e-05
dataframe000015,50.0,2.2,5.173158,-0.32133752,0.02599165,0.00016187962,-0.65061355,-0.26935422,-0.34732917,0.0002487488,$\beta_2$-dominated,4.4043790731172405e-05,4.404379073139921e-05,0.08172212710551599,-0.22903907441212468,-1.223587063413049,0.5566054694986106,4.4043790731172405e-05
dataframe000015,90.0,2.0,9.6891165,-1.0523655,0.13513018,0.00015921835,-0.3175443,-0.7821052,-1.1874957,0.0005011539,$\beta_2$-dominated,-0.00015076423807121558,-0.00015076423807129711,0.39532183781427804,0.9524422564266567,1.8197339382575957,0.960625334446619,-0.00015076423807121558
dataframe000015,90.0,2.0,9.6891165,-1.0523655,-0.42466015,0.00015921835,-0.3175443,-1.9016858,-0.6277054,0.0005011539,$\beta_2$-dominated,-8.769631591339326e-05,-8.769631591341932e-05,-0.5292778036480726,-0.34885630236110765,2.057482233971579,1.0142694277405613,-8.769631591339326e-05
dataframe000015,90.0,2.0,9.6891165,-1.0523655,-0.3201071,0.00015921835,-0.3175443,-1.6925797,-0.73225844,0.0005011539,$\beta_2$-dominated,-9.947562519115287e-05,-9.947562519123444e-05,-0.35658866529871097,-0.10581042955835937,2.0130775570825183,1.004250223932725,-9.947562519115287e-05
dataframe000015,90.0,2.0,9.6891165,-1.0523655,-0.20849241,0.00015921835,-0.3175443,-1.4693503,-0.84387314,0.0005011539,$\beta_2$-dominated,-0.00011205052565889621,-0.00011205052565897778,-0.17223585857643706,0.15365110485966255,1.9656737255830932,0.9935543089449486,-0.00011205052565889621
dataframe000015,90.0,2.0,9.6891165,-1.0523655,-0.42466015,0.00015921835,-0.3175443,-1.9016858,-0.6277054,0.0005011539,$\beta_2$-dominated,-8.769631591339326e-05,-8.769631591341932e-05,-0.5292778036480726,-0.34885630236110765,2.057482233971579,1.0142694277405613,-8.769631591339326e-05
dataframe000014,70.0,2.6,5.417704,-0.2274639,-0.1044155,-1.7990142,-0.00057596347,-0.4362949,-0.1230484,0.9996799,$\alpha_2$-dominated,-0.0006167378289297803,-0.0006167378289295114,2.1324985251391486,-2.123493579525672,-0.30077291205109885,-1.4444351043509436,-0.0006167378289297803
dataframe000014,70.0,2.6,5.417704,-0.2274639,0.15052652,-1.7990142,-0.00057596347,0.073589146,-0.37799042,0.9996799,$\alpha_2$-dominated,-0.0006454522909063892,-0.0006454522909060093,2.553583527509136,-1.5308507922874584,-0.4090492317641287,-1.4688659245692632,-0.0006454522909063892
dataframe000014,70.0,2.6,5.417704,-0.2274639,0.15052652,-1.7990142,-0.00057596347,0.073589146,-0.37799042,0.9996799,$\alpha_2$-dominated,-0.0006454522909063892,-0.0006454522909060093,2.553583527509136,-1.5308507922874584,-0.4090492317641287,-1.4688659245692632,-0.0006454522909063892
dataframe000014,70.0,2.6,5.417704,-0.2274639,-0.25398344,-1.7990142,-0.00057596347,-0.7354308,0.026519537,0.9996799,$\alpha_2$-dominated,-0.0005998787928178533,-0.0005998787928174734,1.8854587732584032,-2.4711818726908796,-0.23724998533980057,-1.4301021774923857,-0.0005998787928178533
dataframe000014,70.0,2.6,5.417704,-0.2274639,0.15052652,-1.7990142,-0.00057596347,0.073589146,-0.37799042,0.9996799,$\alpha_2$-dominated,-0.0006454522909063892,-0.0006454522909060093,2.553583527509136,-1.5308507922874584,-0.4090492317641287,-1.4688659245692632,-0.0006454522909063892
dataframe000016,100.0,2.4,8.6356535,-0.88870317,-0.031932484,8.442586e-05,-0.38150993,-0.9525681,-0.8567707,0.00022124505,$\beta_2$-dominated,-0.0001261715222165575,-0.00012617152221646284,0.10550000854795477,0.3422012546615256,1.1804138259255321,0.897430125862013,-0.0001261715222165575
dataframe000016,100.0,2.4,8.6356535,-0.88870317,-0.031932484,8.442586e-05,-0.38150993,-0.9525681,-0.8567707,0.00022124505,$\beta_2$-dominated,-0.0001261715222165575,-0.00012617152221646284,0.10550000854795477,0.3422012546615256,1.1804138259255321,0.897430125862013,-0.0001261715222165575
dataframe000016,100.0,2.4,8.6356535,-0.88870317,-0.009390977,8.442586e-05,-0.38150993,-0.9074851,-0.8793122,0.00022124505,$\beta_2$-dominated,-0.00012874389759398732,-0.00012874389759389267,0.14273157824819835,0.39460164319913127,1.1708402516338516,0.8952700169259717,-0.00012874389759398732
dataframe000016,100.0,2.4,8.6356535,-0.88870317,-0.07547188,8.442586e-05,-0.38150993,-1.0396469,-0.8132313,0.00022124505,$\beta_2$-dominated,-0.00012123345249048934,-0.00012123345249028368,0.03358646310245068,0.24098881490806673,1.198905401323495,0.9016024388473164,-0.00012123345249048934
dataframe000016,100.0,2.4,8.6356535,-0.88870317,0.38308585,8.442586e-05,-0.38150993,-0.12253147,-1.2717891,0.00022124505,$\beta_2$-dominated,-0.00017299447332436304,-0.00017299447332421288,0.7909813610858456,1.3069603147523112,1.0041516057919984,0.8576594096769529,-0.00017299447332436304
dataframe000013,90.0,2.2,8.50909,-0.39158443,-0.12185612,0.0001213388,-1.3441094,-0.6352967,-0.2697283,9.0266345e-05,$\beta_2$-dominated,-4.37576450798994e-05,-4.375764507963319e-05,-1.236969826462144,0.4825518694140082,0.40696673550705537,-0.3260984004012024,-4.37576450798994e-05
dataframe000013,90.0,2.2,8.50909,-0.39158443,-0.12185612,0.0001213388,-1.3441094,-0.6352967,-0.2697283,9.0266345e-05,$\beta_2$-dominated,-4.37576450798994e-05,-4.375764507963319e-05,-1.236969826462144,0.4825518694140082,0.40696673550705537,-0.3260984004012024,-4.37576450798994e-05
dataframe000013,90.0,2.2,8.50909,-0.39158443,-0.12185612,0.0001213388,-1.3441094,-0.6352967,-0.2697283,9.0266345e-05,$\beta_2$-dominated,-4.37576450798994e-05,-4.375764507963319e-05,-1.236969826462144,0.4825518694140082,0.40696673550705537,-0.3260984004012024,-4.37576450798994e-05
dataframe000013,90.0,2.2,8.50909,-0.39158443,0.13968027,0.0001213388,-1.3441094,-0.11222389,-0.53126466,9.0266345e-05,$\beta_2$-dominated,-7.317408671590928e-05,-7.317408671575409e-05,-0.8049930009126433,1.0905240193222354,0.29588970520669833,-0.3511611744576497,-7.317408671590928e-05
dataframe000013,90.0,2.2,8.50909,-0.39158443,-0.12185612,0.0001213388,-1.3441094,-0.6352967,-0.2697283,9.0266345e-05,$\beta_2$-dominated,-4.37576450798994e-05,-4.375764507963319e-05,-1.236969826462144,0.4825518694140082,0.40696673550705537,-0.3260984004012024,-4.37576450798994e-05
dataframe000013,80.0,2.6,8.636248,-0.09534331,0.6851603,0.00011030561,-1.9683768,1.2749772,-0.7805036,5.6035733e-05,$\beta_2$-dominated,-0.00010489139962197377,-0.00010489139962172552,-0.691386446358312,2.6341812403222917,-0.33072191419663305,-1.203113323496997,-0.00010489139962197377
dataframe000013,80.0,2.6,8.636248,-0.09534331,0.6851603,0.00011030561,-1.9683768,1.2749772,-0.7805036,5.6035733e-05,$\beta_2$-dominated,-0.00010489139962197377,-0.00010489139962172552,-0.691386446358312,2.6341812403222917,-0.33072191419663305,-1.203113323496997,-0.00010489139962197377
dataframe000013,80.0,2.6,8.636248,-0.09534331,0.6851603,0.00011030561,-1.9683768,1.2749772,-0.7805036,5.6035733e-05,$\beta_2$-dominated,-0.00010489139962197377,-0.00010489139962172552,-0.691386446358312,2.6341812403222917,-0.33072191419663305,-1.203113323496997,-0.00010489139962197377
dataframe000013,80.0,2.6,8.636248,-0.09534331,-0.63806206,0.00011030561,-1.9683768,-1.3714675,0.54271877,5.6035733e-05,$\beta_2$-dominated,4.418742776903998e-05,4.418742776928824e-05,-2.8769385565162504,-0.4418050391077025,0.23126325871813305,-1.0763103743733589,4.418742776903998e-05
dataframe000013,80.0,2.6,8.636248,-0.09534331,0.6851603,0.00011030561,-1.9683768,1.2749772,-0.7805036,5.6035733e-05,$\beta_2$-dominated,-0.00010489139962197377,-0.00010489139962172552,-0.691386446358312,2.6341812403222917,-0.33072191419663305,-1.203113323496997,-0.00010489139962197377
dataframe000015,80.0,2.8,8.647331,-0.41463128,-0.06378511,0.0003994952,-1.3325737,-0.5422015,-0.35084617,0.00029970237,$\beta_2$-dominated,6.0580703802130385e-05,6.058070380223572e-05,-1.1355676570040951,0.64560531915691,0.4778063763268311,-0.3168859436862993,6.0580703802130385e-05
dataframe000015,80.0,2.8,8.647331,-0.41463128,-0.06378511,0.0003994952,-1.3325737,-0.5422015,-0.35084617,0.00029970237,$\beta_2$-dominated,6.0580703802130385e-05,6.058070380223572e-05,-1.1355676570040951,0.64560531915691,0.4778063763268311,-0.3168859436862993,6.0580703802130385e-05
dataframe000015,80.0,2.8,8.647331,-0.41463128,-0.5936844,0.0003994952,-1.3325737,-1.602,0.1790531,0.00029970237,$\beta_2$-dominated,0.0001203137661308344,0.00012031376613110627,-2.0107965612093515,-0.5862079468663999,0.7028596341021878,-0.26610629697803595,0.0001203137661308344
dataframe000015,80.0,2.8,8.647331,-0.41463128,0.80410737,0.0003994952,-1.3325737,1.1935835,-1.2187387,0.00029970237,$\beta_2$-dominated,-3.7199081900170674e-05,-3.719908190023187e-05,0.29792105975190636,2.663123731994262,0.10920413590746586,-0.40005513282404315,-3.7199081900170674e-05
dataframe000015,80.0,2.8,8.647331,-0.41463128,-0.06378511,0.0003994952,-1.3325737,-0.5422015,-0.35084617,0.00029970237,$\beta_2$-dominated,6.0580703802130385e-05,6.058070380223572e-05,-1.1355676570040951,0.64560531915691,0.4778063763268311,-0.3168859436862993,6.0580703802130385e-05
dataframe000015,60.0,2.0,6.653391,-0.56493896,-0.118018456,-1.0669264,0.00017487889,-0.80097586,-0.4469205,0.9998361,$\alpha_2$-dominated,4.123114389589981e-06,4.123114389672242e-06,1.4354273827393826,-1.2990706923630493,0.3921715327958863,-0.2879610862152487,4.123114389589981e-06
dataframe000015,60.0,2.0,6.653391,-0.56493896,-0.118018456,-1.0669264,0.00017487889,-0.80097586,-0.4469205,0.9998361,$\alpha_2$-dominated,4.123114389589981e-06,4.123114389672242e-06,1.4354273827393826,-1.2990706923630493,0.3921715327958863,-0.2879610862152487,4.123114389589981e-06
dataframe000015,60.0,2.0,6.653391,-0.56493896,-0.118018456,-1.0669264,0.00017487889,-0.80097586,-0.4469205,0.9998361,$\alpha_2$-dominated,4.123114389589981e-06,4.123114389672242e-06,1.4354273827393826,-1.2990706923630493,0.3921715327958863,-0.2879610862152487,4.123114389589981e-06
dataframe000015,60.0,2.0,6.653391,-0.56493896,-0.118018456,-1.0669264,0.00017487889,-0.80097586,-0.4469205,0.9998361,$\alpha_2$-dominated,4.123114389589981e-06,4.123114389672242e-06,1.4354273827393826,-1.2990706923630493,0.3921715327958863,-0.2879610862152487,4.123114389589981e-06
dataframe000015,60.0,2.0,6.653391,-0.56493896,-0.118018456,-1.0669264,0.00017487889,-0.80097586,-0.4469205,0.9998361,$\alpha_2$-dominated,4.123114389589981e-06,4.123114389672242e-06,1.4354273827393826,-1.2990706923630493,0.3921715327958863,-0.2879610862152487,4.123114389589981e-06
dataframe000015,90.0,2.8,6.6929307,-0.34825087,-0.14433007,0.0012352039,-0.97673213,-0.63691103,-0.2039208,0.0012630319,$\beta_2$-dominated,0.0004671887250023158,0.0004671887250027487,-0.7028664717779506,-0.13946610032501425,-0.4451295112558109,0.1527712697110063,0.0004671887250023158
dataframe000015,90.0,2.8,6.6929307,-0.34825087,-0.6965913,0.0012352039,-0.97673213,-1.7414335,0.34834045,0.0012630319,$\beta_2$-dominated,0.0005294247810590239,0.0005294247810594568,-1.6150304267934001,-1.4232624409697108,-0.21057889437371863,0.20569385066667323,0.0005294247810590239
dataframe000015,90.0,2.8,6.6929307,-0.34825087,-0.5770074,0.0012352039,-0.97673213,-1.5022657,0.22875655,0.0012630319,$\beta_2$-dominated,0.000515952042754703,0.0005159520427550249,-1.4175149771074063,-1.1452755604987355,-0.2613673215309644,0.19423425590283305,0.000515952042754703
dataframe000015,90.0,2.8,6.6929307,-0.34825087,-0.6965913,0.0012352039,-0.97673213,-1.7414335,0.34834045,0.0012630319,$\beta_2$-dominated,0.0005294247810590239,0.0005294247810594568,-1.6150304267934001,-1.4232624409697108,-0.21057889437371863,0.20569385066667323,0.0005294247810590239
