a_val,mass,omega_max_mean,omega_max_std,omega_max_min,omega_max_max,n,mass_inv_sqrt,omega_max_scaled_mean
2.0,50.0,8.99225,0.6328642,8.137525,9.859488,20,0.14142136,63.584812
2.0,60.0,6.7913675,0.81007755,5.8572845,8.649005,20,0.12909944,52.60571
2.0,70.0,6.48134,0.87202686,5.229177,7.878374,20,0.11952286,54.22678
2.0,80.0,6.1345716,1.1006123,4.3262215,7.3664865,20,0.1118034,54.869278
2.0,90.0,5.8667245,0.6890758,4.9089537,6.762041,20,0.10540926,55.65663
2.0,100.0,5.7863975,0.81455976,4.498238,7.058139,20,0.1,57.863976
2.2,50.0,7.4489136,1.1944945,6.1662765,10.148386,20,0.14142136,52.671772
2.2,60.0,7.3871574,1.1214019,5.8661036,9.54397,20,0.12909944,57.220676
2.2,70.0,6.688134,0.4394358,6.041164,7.415328,20,0.11952286,55.956944
2.2,80.0,6.003848,0.5931491,5.445783,7.2823253,20,0.1118034,53.70005
2.2,90.0,5.8024244,0.6105181,4.7104616,6.9163423,20,0.10540926,55.04663
2.2,100.0,5.924689,0.29591423,5.602239,6.514311,20,0.1,59.246887
2.4,50.0,8.32099,0.80062264,7.1177773,9.990595,20,0.14142136,58.838284
2.4,60.0,7.490416,0.5040323,6.728074,8.1031065,20,0.12909944,58.020515
2.4,70.0,7.475621,0.8623517,6.338696,8.793342,20,0.11952286,62.545532
2.4,80.0,6.066694,0.655702,5.3191166,7.631342,20,0.1118034,54.26216
2.4,90.0,5.8014054,0.5125396,5.3222966,6.983161,20,0.10540926,55.03696
2.4,100.0,5.758017,0.29852703,5.439927,6.6579185,20,0.1,57.58017
2.6,50.0,7.956876,1.430517,5.6911297,10.036586,20,0.14142136,56.263607
2.6,60.0,6.908889,0.63745576,5.9188414,7.6281943,20,0.12909944,53.516026
2.6,70.0,6.035475,1.0474436,5.018332,7.7878532,20,0.11952286,50.496403
2.6,80.0,7.144286,0.3421466,6.712221,7.6341777,20,0.1118034,63.90044
2.6,90.0,5.6946583,0.6732719,4.617849,6.4247,20,0.10540926,54.02427
2.6,100.0,5.1821346,0.5531368,4.1426306,5.987334,20,0.1,51.821346
2.8,50.0,8.483057,0.83852553,7.5773635,10.00125,20,0.14142136,59.984272
2.8,60.0,7.450097,0.70992893,6.1709876,8.578137,20,0.12909944,57.708206
2.8,70.0,6.3964715,0.6793806,5.3256345,7.283093,20,0.11952286,53.51672
2.8,80.0,5.692047,1.0997226,3.9329176,7.165589,20,0.1118034,50.911217
2.8,90.0,5.9776745,0.40935475,5.404085,6.4001617,20,0.10540926,56.709198
2.8,100.0,5.6593094,0.64892566,4.21083,6.413007,20,0.1,56.593094
3.0,50.0,7.290413,1.1102976,5.3038473,9.106315,20,0.14142136,51.551003
3.0,60.0,7.1366487,0.86094856,5.9661927,7.9681053,20,0.12909944,55.280243
3.0,70.0,6.3107753,0.23802562,5.970952,6.600944,20,0.11952286,52.799732
3.0,80.0,6.275962,0.74623317,5.0257516,7.093093,20,0.1118034,56.13391
3.0,90.0,5.8471246,0.83060426,4.623994,6.9283504,20,0.10540926,55.47069
3.0,100.0,5.325014,0.45955667,4.5141845,6.252251,20,0.1,53.25014
3.2,50.0,7.670915,0.7823267,7.1888037,9.3813305,20,0.14142136,54.24156
3.2,60.0,6.534228,0.99532783,5.382535,7.9242578,20,0.12909944,50.613914
3.2,70.0,6.566343,0.6072019,5.8738136,8.209511,20,0.11952286,54.937965
3.2,80.0,5.61882,0.50765616,5.0711,6.4478087,20,0.1118034,50.256256
3.2,90.0,5.7780867,0.57350504,5.1436176,6.817593,20,0.10540926,54.815742
3.2,100.0,5.778323,0.5873843,4.4928274,6.690543,20,0.1,57.783234
