,mass,a_val,mass_inv_sqrt,omega_max_THz,omega_min_THz,omega_max_scaled,fitness_norm,fitness1,fitness2,fitness3,num_imaginary,alpha1_plus_2beta1,alpha1_minus_beta1,alpha2,beta2
mass,1.0,7.976020079146637e-16,-0.9885367574566187,-0.6750685887620833,0.09872313368418746,-0.010035481000096439,0.22434499932099977,,0.0039021666867793347,0.22401175372100704,-0.07863235404823228,0.007298659506069064,0.00036665442715897383,0.05079783074315691,-0.04742459129214625
a_val,7.976020079146637e-16,1.0,-7.56748485034808e-16,-0.09858876241033414,-0.0011212008639470733,-0.13317584719654793,-0.006283281583368213,,0.047925823037604,-0.015207671969392723,-0.04504013275439631,-0.029706973852255295,-0.009533456019915313,-0.05362896124431759,0.13437021020079457
mass_inv_sqrt,-0.9885367574566187,-7.56748485034808e-16,1.0,0.6939565202551405,-0.10292293169073491,0.025401554528655515,-0.24670854343357737,,0.0026982702379720214,-0.24758406481551493,0.0778578196329318,0.00461572070647791,0.002845945404277577,-0.05639474804996199,0.027206737498127173
omega_max_THz,-0.6750685887620833,-0.09858876241033414,0.6939565202551405,1.0,-0.17281902658634365,0.7324192206275449,-0.11253261736042483,,-0.023562948125157055,-0.10742356993774123,0.13588201260503477,-0.06825882861280015,-0.08283899890115592,-0.08519592292259523,-0.18589209537932036
omega_min_THz,0.09872313368418746,-0.0011212008639470733,-0.10292293169073491,-0.17281902658634365,1.0,-0.13244225420664738,-0.1216051059197017,,-0.0717311792077013,-0.10815317753950124,-0.8688832867698978,-0.23383787941269457,0.19205099476467347,0.20533502571184506,-0.10317504408332154
omega_max_scaled,-0.010035481000096439,-0.13317584719654793,0.025401554528655515,0.7324192206275449,-0.13244225420664738,1.0,0.0931913160403133,,-0.02443706968583341,0.09899994343115165,0.10680658090978738,-0.09992716722050252,-0.12224448626846451,-0.05627448781481381,-0.2864475805310736
fitness_norm,0.22434499932099977,-0.006283281583368213,-0.24670854343357737,-0.11253261736042483,-0.1216051059197017,0.0931913160403133,1.0,,0.10602785939626595,0.9810819895965865,0.08578356981717895,-0.04480517611482601,0.028991775087690137,-0.08943332773253239,0.028396977629897693
fitness1,,,,,,,,,,,,,,,
fitness2,0.0039021666867793347,0.047925823037604,0.0026982702379720214,-0.023562948125157055,-0.0717311792077013,-0.02443706968583341,0.10602785939626595,,1.0,-0.08834256987814894,-0.16642376643230783,-0.007133699281364682,0.1646635280245101,0.06526190695925659,-0.1908818156362676
fitness3,0.22401175372100704,-0.015207671969392723,-0.24758406481551493,-0.10742356993774123,-0.10815317753950124,0.09899994343115165,0.9810819895965865,,-0.08834256987814894,1.0,0.11877320866683669,-0.04403300047942824,-0.0022575204946708497,-0.10215196954685984,0.06510722416912502
num_imaginary,-0.07863235404823228,-0.04504013275439631,0.0778578196329318,0.13588201260503477,-0.8688832867698978,0.10680658090978738,0.08578356981717895,,-0.16642376643230783,0.11877320866683669,1.0,0.23241999227415505,-0.1954798484997588,-0.14143325654171443,0.09873752236564805
alpha1_plus_2beta1,0.007298659506069064,-0.029706973852255295,0.00461572070647791,-0.06825882861280015,-0.23383787941269457,-0.09992716722050252,-0.04480517611482601,,-0.007133699281364682,-0.04403300047942824,0.23241999227415505,1.0,-0.662433053814366,-0.017770778522182413,-0.1391707249101145
alpha1_minus_beta1,0.00036665442715897383,-0.009533456019915313,0.002845945404277577,-0.08283899890115592,0.19205099476467347,-0.12224448626846451,0.028991775087690137,,0.1646635280245101,-0.0022575204946708497,-0.1954798484997588,-0.662433053814366,1.0,0.0864992432901066,-0.3441653654293727
alpha2,0.05079783074315691,-0.05362896124431759,-0.05639474804996199,-0.08519592292259523,0.20533502571184506,-0.05627448781481381,-0.08943332773253239,,0.06526190695925659,-0.10215196954685984,-0.14143325654171443,-0.017770778522182413,0.0864992432901066,1.0,-0.6207869943691027
beta2,-0.04742459129214625,0.13437021020079457,0.027206737498127173,-0.18589209537932036,-0.10317504408332154,-0.2864475805310736,0.028396977629897693,,-0.1908818156362676,0.06510722416912502,0.09873752236564805,-0.1391707249101145,-0.3441653654293727,-0.6207869943691027,1.0
