,pearson_with_C,spearman_with_C
C,1.0,1.0
a_val,0.05509462335958153,0.0381416667494613
abs_C,0.0009386504625916917,-0.012001302047678006
alpha0,0.00022653832577629725,-0.05417180921836258
alpha1_minus_beta1,0.00038550941537079746,0.06542922295424247
alpha1_plus_2beta1,0.00034562867685219,0.013847017099276538
alpha2,0.00014927332739724644,0.49627297854565705
beta2,0.0003378022474683369,0.0771176096272761
fitness1,,
fitness2,-0.12992447787135739,-0.21825071759478643
fitness3,-0.11671229794036989,-0.120356274649868
fitness_norm,-0.14206033830541828,-0.14677351439722236
mass,-7.201622224224671e-05,0.04801883596755239
max_frequency,0.017742280739716672,-0.07268052477811945
min_frequency,0.432622135031454,0.9127713641439141
num_imaginary,-0.5327923837963257,-0.7916821449975091
r_alpha2,0.03585166002011531,0.02729896188961238
